Run, 44 File #, Date, Time, Raw REF, Raw C1, Raw C2, Raw C3, Corrected REF, Corrected C1, Corrected C2, Corrected C3, 44 Ref Sig (Coulombs), 45 Ref Sig (Coulombs), 44 C1 Sig (Coulombs), 45 C1 Sig (Coulombs), 44 C2 Sig (Coulombs), 45 C2 Sig (Coulombs), 44 C3 Sig (Coulombs), 45 C3 Sig (Coulombs), 44 REF Height (mV), 45 REF Height (mV), 44 C1 Height (mV), 45 C1 Height (mV), 44 C2 Height (mV), 45 C2 Height (mV), 44 C3 Height (mV), 45 C3 Height (mV), REF 44 Start Time (Min), REF 44 End Time (Min), REF 45 Start Time (Min), REF 45 End Time (Min), C1 44 Start Time (Min), C1 44 End Time (Min), C1 45 Start Time (Min), C1 45 End Time (Min), C2 44 Start Time (Min), C2 44 End Time (Min), C2 45 Start Time (Min), C2 45 End Time (Min), C3 44 Start Time (Min), C3 44 End Time (Min), C3 45 Start Time (Min), C3 45 End Time (Min), REF 44 Time STD (Sec), C1 44 Time STD (Sec), C2 44 Time STD (Sec), C3 44 Time STD (Sec),REF 44 Noise STD (mV), REF 45 Noise STD (mV), Baseline 44 Noise STD (mV), Baseline 45 Noise (mV), Temperature(mV)
1, 9493,  9-26-2015, 20:33:45, -39.88, -59.07, -44.63, -48.12, -39.88, -59.07, -44.63, -48.12, 2.14706e-08, 2.31648e-10, 1.76119e-08, 1.86218e-10, 1.80025e-08, 1.93269e-10, 2.37224e-08, 2.53746e-10, 118.931, 139.385, 86.8391, 94.2954, 115.931, 121.066, 180.415, 186.094, 0.073, 0.493, 0.073, 0.493, 0.913, 1.993, 0.900, 2.007, 3.340, 4.227, 3.333, 4.240, 5.773, 6.580, 5.767, 6.593, 7.20, 8.09, 6.20, 5.25, 0.001785, 0.138818, 0.003419, 0.110451, 0.0000 
2, 9494,  9-26-2015, 20:48:47, -39.87, -58.54, -44.70, -47.95, -39.88, -58.55, -44.71, -47.96, 2.16171e-08, 2.3323e-10, 1.75856e-08, 1.86045e-10, 1.80175e-08, 1.93416e-10, 2.35761e-08, 2.52224e-10, 119.112, 139.434, 86.5068, 93.9274, 113.01, 120.058, 174.249, 183.628, 0.067, 0.493, 0.067, 0.493, 0.907, 1.987, 0.900, 2.007, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.767, 6.587, 7.24, 8.11, 6.36, 5.40, 0.007890, 0.016023, 0.003961, 0.101438, 0.0000 
3, 9495,  9-26-2015, 21: 3:49, -39.84, -58.74, -43.97, -47.77, -39.88, -58.78, -44.01, -47.81, 2.16125e-08, 2.33189e-10, 1.7582e-08, 1.85967e-10, 1.8031e-08, 1.93709e-10, 2.37596e-08, 2.54237e-10, 118.859, 139.18, 87.6359, 94.8131, 115.437, 121.503, 172.175, 182.927, 0.073, 0.493, 0.073, 0.493, 0.913, 1.987, 0.907, 2.007, 3.340, 4.220, 3.333, 4.240, 5.767, 6.580, 5.767, 6.600, 7.25, 8.00, 6.23, 5.51, 0.002958, 0.037427, 0.004387, 0.018371, 0.0000 
4, 9496,  9-26-2015, 21:18:52, -39.76, -58.76, -44.44, -47.82, -39.88, -58.88, -44.56, -47.93, 2.16638e-08, 2.3376e-10, 1.7545e-08, 1.85571e-10, 1.8084e-08, 1.94182e-10, 2.3715e-08, 2.53748e-10, 119.43, 139.855, 85.9151, 93.3663, 114.537, 122.113, 176.584, 185.533, 0.067, 0.487, 0.067, 0.487, 0.900, 1.980, 0.887, 2.000, 3.340, 4.220, 3.333, 4.233, 5.767, 6.573, 5.767, 6.593, 7.24, 8.15, 6.30, 5.36, 0.003832, 0.042169, 0.005356, 0.062998, 0.0000 
5, 9497,  9-26-2015, 21:33:54, -39.90, -58.96, -44.54, -47.97, -39.88, -58.94, -44.51, -47.94, 2.15847e-08, 2.32873e-10, 1.75378e-08, 1.85456e-10, 1.80405e-08, 1.93696e-10, 2.37714e-08, 2.5431e-10, 118.969, 139.256, 87.174, 94.4311, 116.2, 121.876, 175.292, 185.552, 0.067, 0.493, 0.067, 0.493, 0.927, 2.000, 0.913, 2.013, 3.340, 4.227, 3.340, 4.240, 5.767, 6.580, 5.767, 6.593, 7.24, 8.03, 6.19, 5.41, 0.008105, 0.047429, 0.006062, 0.059628, 0.0000 
6, 9498,  9-26-2015, 21:48:56, -39.70, -58.52, -44.30, -48.24, -39.88, -58.70, -44.48, -48.42, 2.16153e-08, 2.33252e-10, 1.75039e-08, 1.85185e-10, 1.80527e-08, 1.93876e-10, 2.3792e-08, 2.5446e-10, 118.968, 139.354, 86.6412, 93.7815, 115.183, 120.488, 179.536, 186.74, 0.073, 0.493, 0.073, 0.493, 0.920, 1.993, 0.907, 2.013, 3.340, 4.220, 3.333, 4.233, 5.767, 6.573, 5.767, 6.587, 7.25, 8.06, 6.25, 5.29, 0.007089, 0.111129, 0.005723, 0.101858, 0.0000 
7, 9499,  9-26-2015, 22: 3:58, -39.81, -59.37, -44.13, -48.06, -39.88, -59.44, -44.20, -48.13, 2.16294e-08, 2.33379e-10, 1.74393e-08, 1.84334e-10, 1.80679e-08, 1.94073e-10, 2.37642e-08, 2.54209e-10, 118.933, 139.272, 86.8805, 94.0718, 117.529, 122.624, 176.983, 184.849, 0.067, 0.493, 0.067, 0.487, 0.913, 1.993, 0.907, 2.007, 3.340, 4.220, 3.333, 4.240, 5.767, 6.580, 5.767, 6.593, 7.26, 8.01, 6.13, 5.36, 0.004437, 0.132187, 0.006344, 0.047450, 0.0000 
8, 9500,  9-26-2015, 22:19: 0, -39.75, -58.90, -44.35, -48.00, -39.88, -59.03, -44.48, -48.13, 2.16794e-08, 2.33932e-10, 1.74744e-08, 1.84798e-10, 1.80957e-08, 1.94326e-10, 2.37867e-08, 2.54467e-10, 119.366, 139.758, 86.7096, 93.8521, 116.791, 122.653, 176.895, 185.939, 0.067, 0.493, 0.067, 0.493, 0.913, 1.993, 0.907, 2.013, 3.340, 4.220, 3.333, 4.233, 5.767, 6.573, 5.760, 6.587, 7.25, 8.04, 6.18, 5.36, 0.005196, 0.033414, 0.003500, 0.070374, 0.0000 
9, 9501,  9-26-2015, 22:34: 2, -39.83, -59.26, -44.60, -48.12, -39.88, -59.31, -44.64, -48.17, 2.1668e-08, 2.33788e-10, 1.75151e-08, 1.85157e-10, 1.81177e-08, 1.94512e-10, 2.38203e-08, 2.54793e-10, 119.33, 139.741, 86.2151, 93.6639, 115.57, 122.359, 177.109, 184.992, 0.067, 0.487, 0.067, 0.487, 0.913, 1.993, 0.907, 2.007, 3.333, 4.220, 3.333, 4.233, 5.767, 6.573, 5.760, 6.587, 7.24, 8.10, 6.25, 5.37, 0.006942, 0.057987, 0.005673, 0.071641, 0.0000 
10, 9502,  9-26-2015, 22:49: 5, -39.76, -59.15, -44.38, -48.39, -39.88, -59.26, -44.50, -48.51, 2.15111e-08, 2.32112e-10, 1.75145e-08, 1.85173e-10, 1.81124e-08, 1.94499e-10, 2.37887e-08, 2.54382e-10, 119.27, 139.676, 86.2219, 93.6539, 115.287, 121.789, 178.985, 186.757, 0.067, 0.487, 0.067, 0.487, 0.907, 1.993, 0.900, 2.007, 3.333, 4.220, 3.333, 4.233, 5.767, 6.573, 5.767, 6.587, 7.20, 8.10, 6.27, 5.30, 0.007906, 0.199922, 0.006042, 0.010075, 0.0000 
11, 9503,  9-26-2015, 23: 4: 7, -39.73, -58.49, -44.60, -47.76, -39.88, -58.64, -44.75, -47.91, 2.1614e-08, 2.33231e-10, 1.74443e-08, 1.8456e-10, 1.80713e-08, 1.94015e-10, 2.37576e-08, 2.54218e-10, 119.184, 139.66, 86.7441, 93.9088, 114.012, 121.225, 175.825, 186.224, 0.073, 0.493, 0.067, 0.493, 0.933, 2.007, 0.927, 2.027, 3.340, 4.227, 3.333, 4.233, 5.767, 6.573, 5.767, 6.593, 7.23, 8.02, 6.32, 5.39, 0.004301, 0.074852, 0.002550, 0.031365, 0.0000 
12, 9504,  9-26-2015, 23:19: 9, -39.68, -57.90, -44.79, -48.21, -39.88, -58.10, -44.99, -48.41, 2.14396e-08, 2.31361e-10, 1.74762e-08, 1.85013e-10, 1.80966e-08, 1.94247e-10, 2.38319e-08, 2.54892e-10, 118.971, 139.33, 86.5055, 93.8971, 116.839, 122.353, 172.73, 185.091, 0.067, 0.493, 0.067, 0.493, 0.927, 2.000, 0.913, 2.020, 3.340, 4.227, 3.333, 4.233, 5.767, 6.573, 5.760, 6.587, 7.19, 8.06, 6.18, 5.50, 0.006103, 0.010416, 0.005408, 0.100526, 0.0000 
13, 9505,  9-26-2015, 23:34:12, -39.62, -59.54, -44.23, -47.79, -39.88, -59.80, -44.49, -48.05, 2.16081e-08, 2.33194e-10, 1.75007e-08, 1.8495e-10, 1.81209e-08, 1.94622e-10, 2.38197e-08, 2.54874e-10, 119.001, 139.352, 85.7932, 93.3744, 115.74, 122.589, 176.123, 184.301, 0.067, 0.493, 0.067, 0.493, 0.913, 1.993, 0.907, 2.007, 3.333, 4.220, 3.333, 4.233, 5.767, 6.573, 5.760, 6.587, 7.24, 8.14, 6.25, 5.40, 0.005408, 0.126560, 0.009257, 0.054475, 0.0000 
14, 9506,  9-26-2015, 23:49:14, -39.49, -58.51, -44.33, -48.23, -39.88, -58.90, -44.72, -48.62, 2.15349e-08, 2.32436e-10, 1.74563e-08, 1.84683e-10, 1.8082e-08, 1.94185e-10, 2.38354e-08, 2.54925e-10, 118.591, 138.955, 86.406, 93.7668, 115.485, 121.216, 174.08, 184.423, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.907, 2.013, 3.333, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.587, 7.24, 8.06, 6.25, 5.46, 0.002550, 0.081380, 0.008288, 0.005315, 0.0000 
15, 9507,  9-27-2015,  0: 4:16, -39.51, -59.17, -43.98, -48.03, -39.88, -59.54, -44.36, -48.40, 2.15187e-08, 2.32256e-10, 1.74373e-08, 1.84353e-10, 1.80564e-08, 1.93978e-10, 2.36507e-08, 2.53004e-10, 118.515, 138.789, 87.0374, 93.9333, 115.697, 120.824, 176.512, 186.107, 0.067, 0.487, 0.067, 0.487, 0.933, 2.007, 0.927, 2.020, 3.333, 4.220, 3.333, 4.233, 5.767, 6.573, 5.760, 6.587, 7.24, 7.99, 6.23, 5.35, 0.001090, 0.163672, 0.004301, 0.013620, 0.0000 
16, 9508,  9-27-2015,  0:19:18, -39.48, -59.06, -44.57, -47.70, -39.88, -59.46, -44.97, -48.10, 2.15426e-08, 2.32521e-10, 1.73934e-08, 1.8391e-10, 1.80601e-08, 1.939e-10, 2.38125e-08, 2.54823e-10, 118.768, 139.08, 86.2272, 93.4844, 113.809, 121.175, 174.635, 185.908, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.913, 2.013, 3.340, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.593, 7.24, 8.05, 6.33, 5.44, 0.004603, 0.099967, 0.007395, 0.031690, 0.0000 
17, 9509,  9-27-2015,  0:34:20, -39.73, -58.33, -44.20, -47.74, -39.88, -58.47, -44.35, -47.88, 2.15368e-08, 2.32397e-10, 1.73899e-08, 1.84016e-10, 1.80733e-08, 1.94117e-10, 2.38035e-08, 2.54716e-10, 118.616, 138.954, 86.0706, 93.4114, 115.119, 121.098, 175.643, 185.077, 0.073, 0.500, 0.073, 0.500, 0.920, 1.993, 0.913, 2.013, 3.340, 4.227, 3.333, 4.240, 5.773, 6.580, 5.767, 6.600, 7.24, 8.06, 6.26, 5.41, 0.004380, 0.017022, 0.009601, 0.011057, 0.0000 
